"LIBRARYREFERENCE","FOOTPRINT1","ADJUSTMENT TYPE","CATEGORY","COIL POWER","COIL TYPE","COIL VOLTAGE","COLOR","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","CONTACT FORM","CONTACT RATING","CURRENT - CONT DRAIN","CURRENT - SATURATION","CURRENT RATING","CURRENT TRANSFER RATIO","DC FORWARD CURRENT","DC FOWARD CURRENT","DC RESISTANCE (DCR)","DELAY TIME","DIGIKEY PART NUMBER","DIGIKEY PN","DRAIN TO SOURCE VOLTAGE (VDSS)","FET TYPE","FORWARD VOLTAGE","FREQUENCY","FREQUENCY - SELF RESONANT","FREQUENCY - TEST","HEIGHT - SEATED (MAX)","IMPEDENCE (MAX)","INDUCTANCE","ISOLATION","ISOLATION VOLTAGE","LOGIC LEVEL - HIGH","LOGIC LEVEL - LOW","MANFACTURER","MANUFACTURE","MANUFACTURE PART NUMBER","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER PN","MANUFACTURER_PN","MANUFACTURERPARTNUMBER","MATERIAL - CORE","MFG","MFG_PN","MOUNTING TYPE","OPERATE TIME","OPERATING TEMPERATURE","OUTPUT TYPE","PACKAGE","PACKAGE / CASE","PACKAGE/CASE","PACKAGING","PITCH","POWER","POWER (MAX)","POWER (W)","PRICING 1","Q @ FREQ","RDS ON (MAX) @ ID, VGS","RESISTANCE","REVERSE_STANDOFF_VOLTAGE","ROHS","SHIELDING","SIZE / DIMENSION","STOCK 1","SUPPLIER","SUPPLIER 1","SUPPLIER DEVICE PACKAGE","SUPPLIER PART NUMBER","SUPPLIER PART NUMBER 1","SUPPLIER PN","SUPPLIER_PN","SUPPLIERPARTNUMBER","SUPPLY VOLTAGE","SWITCHING VOLTAGE","TOLERANCE","TOLERENCE","TURNS","TYPE","VALUE","VENDOR","VENDOR PART NUMBER","VGS","VOLTAGE","VOLTAGE - FORWARD","VOLTAGE - SUPPLY'","VOLTAGE - ZENER (NOM)","VOLTAGE SUPPLY","SHEETPART","DESIGNATOR","DESCRIPTION"
"AOZ1282CI Buck Switching Regulator","SOT23-6","","","","","","","AOZ1282CI Buck Switching Regulator","","","","","","","","","","","","","785-1613-1-ND","","","","","","","","","","","","","","","","","","","AOZ1282CI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","785-1613-1-ND","","","","","","","","","","","","","","","","","","","","U?","IC REG BUCK ADJ 1.2A SOT23-6"
"AP65200FK-7 Buck Switching Regulator","10-UFDFN","","","","","","","AP65200FK-7 Buck Switching Regulator","","","","","","","","","","","","","AP65200FK-7DICT-ND","","","","","","","","","","","","","","","","","","","AP65200FK-7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","AP65200FK-7DICT-ND","","","","","","","","","","","","","","","","","","","","U?","Buck Switching Reg IC Positive Adjustable 0.925V 1 Output 2A 10-UFDFN Exposed Pad"
"BergStak 50 Position Connector Plug","Bergstak 50 Pos Plug","","","","","","","BergStak Plug","","","","","","","","","","","","","","609-5226-1-ND","","","","","","","","","","","","","","","","","","","10132797-055100LF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","P?","50 Position Connector Plug, Outer Shroud Contacts Surface Mount Gold"
"BergStak 50 Position Connector Receptacle","Bergstak 50 Pos Receptacle","","","","","","","BergStak Receptacle","","","","","","","","","","","","","609-5227-1-ND","","","","","","","","","","","","","","","","","","","10132798-052100LF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","609-5227-1-ND","","","","","","","","","","","","","","","","","","","","P?","50 Position Connector Receptacle, Center Strip Contacts Surface Mount Gold"
"CAP ALUM 100UF 20% 16V RADIAL","CAP ALUM 100UF 20% 16V RADIAL","","","","","","","= Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nichicon","","UKA1C101MDD","","","","","","","","","","","","","","","","","","","","","","","","","","","Digikey","","","","","493-15321-ND","","","","","","","","","100uF","","","","16V","","","","","*","C?","100µF 16V Aluminum Capacitors Radial, Can 2000 Hrs @ 105°C"
"CAP CER 0.1UF 50V 10% X7R 0603","CAPC1608X06N","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AVX Corporation","","","","06035C104KAT2A","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","","","","","478-5052-1-ND","","","","","","","0.1uF","","","","50V","","","","","","C?","0.10µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"CAP CER 10nF 50V 5% X7R 0603","CAPC1608X06N","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kemet","","","","C0603C103J5JAC7867","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","","","","","399-13384-1-ND","","","","","","","10nF","","","","50V","","","","","","C?","10000pF ±5% 50V Ceramic Capacitor U2J 0603 (1608 Metric)"
"CAP CER 10uF 25V 20% X5R 0603","CAPC1608X06N","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Murata Electronics North America","","","","GRM188R61E106MA73D","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","","","","","490-7202-1-ND","","","","","","","10uF","","","","25V","","","","","","C?","10µF ±20% 25V Ceramic Capacitor X5R 0603 (1608 Metric)"
"CAP CER 15PF 50V NPO 0603","CAPC1608X06N","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yageo","","","","CC0603JRNPO9BN150","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","","","","","311-1060-1-ND","","","","","","","15pF","","","","50V","","","","","","C?","15pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"CAP CER 1UF 50V 10% X7R 0603","CAPC1608X06N","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Taiyo Yuden","","","","UMK107AB7105KA-T","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","587-3247-1-ND","","","","","","","","","","1uF","","","","50V","","","","","","C?","1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
